Id,Project,Reporter,Assigned To,Priority,Severity,Reproducibility,Product Version,Category,Date Submitted,OS,OS Version,Platform,View Status,Updated,Summary,Status,Resolution,Fixed in Version
0014544,Scribus,Fahad,,normal,feature,always,1.5.3.svn,General,2017-01-08,,,,public,2025-11-30,Layout should aware of RTL pages,new,open,
0017697,Scribus,ale,cbradney,normal,feature,N/A,1.7.1.svn,User Interface,2025-11-26,,,,public,2025-11-30,Make the preferences searchable,assigned,open,
0017688,Scribus,bgc,,normal,feature,N/A,1.7.1.svn,Usability,2025-11-17,,,,public,2025-11-30,Advanced selection of items with a paragraph style (draft patch included),new,open,
0017699,Scribus,wopozka,,normal,minor,always,1.6.4,Import / Export,2025-11-28,Windows,11,x86,public,2025-11-28,Arrows are reversed when imported from SVG,new,open,
0017698,Scribus,sebastian_st,,normal,minor,sometimes,1.7.0,Import / Export,2025-11-26,Debian Linux,,,public,2025-11-27,File chooser sometimes shows no files,new,open,
0014597,Scribus,JLuc,ale,normal,feature,N/A,,Scripter,2017-01-29,Ubuntu,14.04,Linux,public,2025-11-26,Script command to get preflight errors or warnings,acknowledged,open,
0017686,Scribus,X_FISH,jghali,normal,major,always,1.6.4,Color Management,2025-11-15,CachyOS,rolling distro,Linux,public,2025-11-25,"Color picker (eyedropper) does not work (always returns ""black"")",resolved,fixed,1.6.5.svn
0017696,Scribus,JLuc,jghali,normal,minor,have not tried,1.6.4,General,2025-11-24,Ubuntu,24.04,Linux,public,2025-11-25,Layer disappears after editing inline object (layer visibility scrambling),resolved,fixed,1.6.5.svn
0017692,Scribus,ale,cbradney,normal,minor,always,1.7.1.svn,General,2025-11-20,,,,public,2025-11-25,On canvas rotation does use the opposite handle for the middle left and right ones,resolved,fixed,1.7.1.svn
0017623,Scribus,qirat,ale,normal,minor,always,1.7.1.svn,General,2025-09-08,Fedora,42 Workstation,Linux,public,2025-11-25,[PATCH] Align and distribute - Making gaps between equal needs multiple clicks,resolved,fixed,1.7.1.svn
0011871,Scribus,FirasH,,normal,crash,always,1.5.0svn,Undo/Redo,2013-12-04,,,,public,2025-11-23,Using bullets in Paragraph Styles cause crash by pressing Ctrl+Z in determined condition,new,open,1.5.6.svn
0017695,Scribus,JLuc,,normal,minor,have not tried,1.6.4,Text Frames / Story Editor,2025-11-22,Ubuntu,24.04,Linux,public,2025-11-22,missing bottom-right red-X to add linked text frame,new,open,
0016019,Scribus,utnik,,normal,feature,always,,Usability,2019-12-18,,,all,public,2025-11-22,text flow – don't scale the offset of a contour line when scaling an object,new,open,
0001096,Scribus,packetbell,nitramr,normal,feature,N/A,1.3,Graphics / Image Frames,2004-09-17,all,all,all,public,2025-11-22,[PATCH] Picture frame padding,assigned,open,
0017689,Scribus,sonicSMASH,jghali,normal,major,always,1.7.1.svn,Graphics / Image Frames,2025-11-19,Linux Mint,22.2,Linux,public,2025-11-21,Embedding Images auto destructs the image after saving,resolved,fixed,1.7.1.svn
0017694,Scribus,ale,,normal,feature,N/A,1.7.1.svn,Graphics / Image Frames,2025-11-20,,,,public,2025-11-20,Allow absolute paths for images,new,open,
0017693,Scribus,ale,,normal,feature,N/A,1.7.1.svn,General,2025-11-20,,,,public,2025-11-20,Persist the basepoint,new,open,
0001750,Scribus,jo-hannes,,low,feature,always,1.3.4cvs,User Interface,2005-03-03,all,all,all,public,2025-11-20,Improvement of Rotate-Function in the toolbar,acknowledged,open,
0017691,Scribus,Ralph,,normal,feature,N/A,,Scripter,2025-11-20,,,,public,2025-11-20,Provide Scripter the a method to check the document,new,open,
